"","parcela","N1","V1","AB1","AD1","E1","N2","V2","AB2","AD2","E2","Aclareo","Et","ABu","B"
"240",12,247.096614776378,297.30253,34.23336,24.0792,36.2,NA,NA,NA,NA,NA,"SA",0,0,0
"241",13,2891.03039288362,0,12.67392,0,4.2,2891.03039288362,30.849773,18.00064,5.7912,5.1,"SA",0,0,0
"242",13,2891.03039288362,30.849773,18.00064,5.7912,5.1,2891.03039288362,53.639002,24.77384,7.0104,6.2,"SA",0,0,0
"243",13,2891.03039288362,53.639002,24.77384,7.0104,6.2,2891.03039288362,77.792646,30.00872,8.5344,7,"SA",0,0,0
"244",13,2891.03039288362,77.792646,30.00872,8.5344,7,2891.03039288362,92.248448,32.718,9.144,7.7,"SA",0,0,0
"245",13,2891.03039288362,92.248448,32.718,9.144,7.7,2841.61106992834,116.695966,36.41456,10.3632,8.9,"SA",0,0,0
"246",13,2841.61106992834,116.695966,36.41456,10.3632,8.9,988.38645910551,63.308856,17.72512,11.2776,10.3,"A1",8.9,36.41456,0.486759142496847
"247",13,988.38645910551,63.308856,17.72512,11.2776,10.3,988.38645910551,94.046677,22.22528,12.4968,12.1,"A1",8.9,36.41456,0.610340479192938
"248",13,988.38645910551,94.046677,22.22528,12.4968,12.1,988.38645910551,127.779214,26.90912,13.716,14.3,"A1",8.9,36.41456,0.738965952080706
"249",13,988.38645910551,127.779214,26.90912,13.716,14.3,988.38645910551,160.056375,31.24856,14.6304,16.1,"A1",8.9,36.41456,0.858133669609079
"250",13,988.38645910551,160.056375,31.24856,14.6304,16.1,988.38645910551,211.498319,36.71304,16.1544,18.1,"A1",8.9,36.41456,1.00819672131148
"251",13,988.38645910551,211.498319,36.71304,16.1544,18.1,988.38645910551,267.572277,41.62648,17.9832,20.3,"A1",8.9,36.41456,1.14312736443884
"252",13,988.38645910551,267.572277,41.62648,17.9832,20.3,976.031628366691,301.024934,44.26688,18.8976,22.1,"A1",8.9,36.41456,1.2156368221942
"253",13,976.031628366691,301.024934,44.26688,18.8976,22.1,976.031628366691,329.726628,46.9532,20.1168,24,"A1",8.9,36.41456,1.28940731399748
