parcela2,parcela,N,N2,V,V2,ABu,ABu2,AB,AB2,CI,CI2,AD,AD2,E,E2,Anio_Aclareo,Aclareo,star_aclareo,Densidad,Densidad2,Mortalidad,V_mort,AB_mort,V_punta_10cm,V_punta_10cm2,V_mort_punta10cm,V_punta_15cm,V_punta_15cm2,DCM
5,5,481.8383988,481.8383988,67.437086,89.134783,0,0,16.27864,19.47008,#¿NOMBRE?,#¿NOMBRE?,11.5824,12.8016,8.9,10.3,SA,SA,NA,Baja,Baja,0,0,0,63.028976,84.929586,0,9.019133,30.968722,20.7402227
5,5,481.8383988,481.8383988,89.134783,121.460923,0,0,19.47008,23.32736,#¿NOMBRE?,#¿NOMBRE?,12.8016,14.6304,10.3,12.1,SA,SA,NA,Baja,Baja,0,0,0,84.929586,117.346687,0,30.968722,64.344412,22.68235921
5,5,481.8383988,481.8383988,121.460923,150.400515,0,0,23.32736,26.26624,#¿NOMBRE?,#¿NOMBRE?,14.6304,15.8496,12.1,14.3,SA,SA,NA,Baja,Baja,0,0,0,117.346687,146.286279,0,64.344412,93.381962,24.82773788
5,5,481.8383988,481.8383988,150.400515,177.891728,0,0,26.26624,29.43472,#¿NOMBRE?,#¿NOMBRE?,15.8496,16.764,14.3,16.1,SA,SA,NA,Baja,Baja,0,0,0,146.286279,173.94542,0,93.381962,123.154197,26.3453098
5,5,481.8383988,481.8383988,177.891728,215.899432,0,0,29.43472,32.58024,#¿NOMBRE?,#¿NOMBRE?,16.764,18.5928,16.1,18.1,SA,SA,NA,Baja,Baja,0,0,0,173.94542,211.932133,0,123.154197,160.847036,27.88908785
5,5,481.8383988,481.8383988,215.899432,270.441047,0,0,32.58024,36.52936,#¿NOMBRE?,#¿NOMBRE?,18.5928,20.7264,18.1,20.3,SA,SA,NA,Baja,Baja,0,0,0,211.932133,266.403778,0,160.847036,214.444056,29.34144482
5,5,481.8383988,481.8383988,270.441047,297.281539,0,0,36.52936,38.54984,#¿NOMBRE?,#¿NOMBRE?,20.7264,21.6408,20.3,22.1,SA,SA,NA,Baja,Baja,0,0,0,266.403778,293.251267,0,214.444056,241.382506,31.06886496
5,5,481.8383988,481.8383988,297.281539,324.408908,0,0,38.54984,40.73104,#¿NOMBRE?,#¿NOMBRE?,21.6408,22.2504,22.1,24,SA,SA,NA,Baja,Baja,0,0,0,293.251267,320.427615,0,241.382506,269.111617,31.91652835
5,5,481.8383988,481.8383988,324.408908,359.01607,0,0,40.73104,42.84336,#¿NOMBRE?,#¿NOMBRE?,22.2504,23.1648,24,26,SA,SA,NA,Baja,Baja,0,0,0,320.427615,354.992795,0,269.111617,303.221992,32.80704433
5,5,481.8383988,469.4835681,359.01607,392.384763,0,0,42.84336,44.90976,#¿NOMBRE?,#¿NOMBRE?,23.1648,24.0792,26,28.1,SA,SA,NA,Baja,Baja,0,0,0,354.992795,388.529416,0,303.221992,338.927683,33.64698212
5,5,469.4835681,469.4835681,392.384763,412.305222,0,0,44.90976,46.01184,#¿NOMBRE?,#¿NOMBRE?,24.0792,24.6888,28.1,30,SA,SA,NA,Baja,Baja,12.35483074,4.834927,0.66584,388.529416,408.386902,4.701984,338.927683,357.994508,34.89918043
5,5,469.4835681,457.1287373,412.305222,441.608658,0,0,46.01184,47.5272,#¿NOMBRE?,#¿NOMBRE?,24.6888,25.6032,30,32.1,SA,SA,NA,Baja,Baja,0,0,0,408.386902,437.837275,0,357.994508,389.208125,35.32479592
5,5,457.1287373,432.4190759,441.608658,454.119294,0,0,47.5272,47.77976,#¿NOMBRE?,#¿NOMBRE?,25.6032,26.2128,32.1,34.1,SA,SA,NA,Baja,Baja,12.35483074,6.283306,0.75768,437.837275,450.648782,6.143366,389.208125,405.972937,36.38370417
5,5,432.4190759,407.7094144,454.119294,458.625362,0,0,47.77976,47.7568,#¿NOMBRE?,#¿NOMBRE?,26.2128,27.1272,34.1,36.2,SA,SA,NA,Baja,Baja,24.70966148,12.111807,1.44648,450.648782,455.322778,11.82493,405.972937,412.997925,37.50806148
6,6,370.6449222,370.6449222,0,11.076251,0,0,3.0996,4.63792,#¿NOMBRE?,#¿NOMBRE?,0,7.3152,4.2,5.1,SA,SA,NA,Baja,Baja,0,0,0,0,6.619162,0,0,0,10.318792
6,6,370.6449222,370.6449222,11.076251,20.116375,0,0,4.63792,6.7732,#¿NOMBRE?,#¿NOMBRE?,7.3152,8.8392,5.1,6.2,SA,SA,NA,Baja,Baja,0,0,0,6.619162,16.072109,0,0,0,12.6222756
